#Key+A955,String,Size,Notes
BUILDERROR_BUDGETRESTRICTED,Economy cannot support new ships.,,
BUILDERROR_CLASSRESTRICTED,%s construction is currently disabled.,255,params: shipclass name
BUILDERROR_GENERIC,Cannot build this design.,,
BUILDERROR_TURNENDED,Turn Ended,,

NOTEPAD_CLEAR,Clear Notes,,
NOTEPAD_TURN,Year %s,31,params: year number

ALLIANCEDLG_ACCEPT,Accept,,
ALLIANCEDLG_DECLINE,Decline,,
ALLIANCEDLG_QUITIF,Quit If Accepted,,
ALLIANCEDLG_CONFIRM,Confirm,,
ALLIANCEDLG_REJECT,Reject,,
ALLIANCEDLG_ALLIANCE_INVITE_ACCEPTED_TITLE,%s Accepts Invitation,255,params: player accepting
ALLIANCEDLG_ALLIANCE_INVITE_ACCEPTED_DESC,%s accepted your invitation to join an alliance.,255,params: player accepting
ALLIANCEDLG_ALLIANCE_INVITE_DECLINED_TITLE,%s Declines Invitation,255,params: player declining
ALLIANCEDLG_ALLIANCE_INVITE_DECLINED_DESC,%s declined your invitation to join an alliance.,255,params: player declining
ALLIANCEDLG_NONAGGRESSION_INVITE_ACCEPTED_TITLE,%s Accepts Invitation,255,params: player accepting
ALLIANCEDLG_NONAGGRESSION_INVITE_ACCEPTED_DESC,%s accepted your invitation to form a non-aggression agreement.,255,params: player accepting
ALLIANCEDLG_NONAGGRESSION_INVITE_DECLINED_TITLE,%s Declines Invitation,255,params: player declining
ALLIANCEDLG_NONAGGRESSION_INVITE_DECLINED_DESC,%s declined your invitation to form a non-aggression agreement.,255,params: player declining
ALLIANCEDLG_PLAYER_LEAVES_ALLIANCE_TITLE,%s Has Left\nYour Alliance,255,params: player leaving
ALLIANCEDLG_PLAYER_LEAVES_NONAGGRESSION_TITLE,%s Has Cancelled Your\nNon-Aggression Agreement,255,params: player leaving
ALLIANCEDLG_PLAYER_CANCELS_INVITE_TITLE,%s Has Cancelled Their Invitation,255,params: player cancelling
ALLIANCEDLG_ALLIANCE_INVITE_WARN,"If you accept, you will leave the alliance you are currently in.",,
ALLIANCEDLG_ALLYNEG_CONFIRMED,Confirmed,,
ALLIANCEDLG_ALLYNEG_TITLE,Ally Responses:,,
ALLIANCEDLG_RESPONSES_TITLE,Select your response:,,

ALLIANCEDLG_TITLE_INVITED_CREATE_ALLIANCE,%s invites you to form an alliance.,511,params: player
ALLIANCEDLG_DESC_INVITED_CREATE_ALLIANCE,,,
ALLIANCEDLG_TITLE_INVITED_JOIN_ALLIANCE,%s invites you to join their alliance.,511,params: player list
ALLIANCEDLG_DESC_INVITED_JOIN_ALLIANCE,,,
ALLIANCEDLG_TITLE_ALLOW_PLAYER_INVITED,%s has been invited to join your alliance.,511,params: player
ALLIANCEDLG_DESC_ALLOW_PLAYER_INVITED,,,
ALLIANCEDLG_TITLE_ALLOW_PLAYER_REQUESTED,%s has requested to join your alliance.,511,params: player
ALLIANCEDLG_DESC_ALLOW_PLAYER_REQUESTED,,,
ALLIANCEDLG_TITLE_ALLOW_MERGE,Merge Alliances?,,
ALLIANCEDLG_DESC_ALLOW_MERGE,Do you wish to merge alliances with %s.,511,params: player list
ALLIANCEDLG_TITLE_INVITED_CREATE_NAP,%s invites you to form a non-aggression agreement.,511,params: player
ALLIANCEDLG_DESC_INVITED_CREATE_NAP,,,

ALRESPONSETEXT_ACCEPT,Accepts,,
ALRESPONSETEXT_REJECT,Rejects,,
ALRESPONSETEXT_QUITIF,Quitting If Accepted,,

DIPLOMACY_TITLE,Diplomacy,,
DIPSCREEN_STATUS_WAR,War,,
DIPSCREEN_STATUS_ALLIANCE,Ally,,
DIPSCREEN_STATUS_NAP,NAP,,
DIPSCREEN_EMPIRE_SAVINGS,Savings,,
DIPSCREEN_EMPIRE_NUMCOLONIES,Colonies,,
DIPSCREEN_EMPIRE_HOMESYSTEM,Homeworld,,
DIPSCREEN_EMPIRE_HAZARD,Climate Hazard,,
DIPSCREEN_FLEETINFO_NUMSHIPS,Ships
DIPSCREEN_FLEETINFO_NUMSATS,Sats
DIPSCREEN_FLEETINFO_MAXCLASS,Max Class
DIPSCREEN_FLEETINFO_MAXPOWER,Max Power
DIPSCREEN_SHIPANALYSIS,Ship Analysis
DIPSCREEN_TECHANALYSIS,Tech Analysis
DIPSCREEN_TOOLTIP_PLAYERINFO,Intel Analysis
DIPSCREEN_TOOLTIP_GIVESAVINGS,Give Savings
DIPSCREEN_TOOLTIP_GIVERESEARCH,Give Research
DIPSCREEN_TOOLTIP_COMPOSEMSG,Compose Message
DIPSCREEN_TOOLTIP_VIEWAGREEMENTS,View Diplomatic Agreements
DIPSCREEN_TOOLTIP_RELATION_DECLINED,Diplomatic relations have declined.
DIPSCREEN_TOOLTIP_RELATION_IMPROVED,Diplomatic relations have improved.
DIPSCREEN_TOOLTIP_RELATION_NOCHANGE,Diplomatic relations are unchanged.

TECHERA_NAME_FISSION,Fission
TECHERA_NAME_FUSION,Fusion
TECHERA_NAME_ANTIMATTER,Antimatter

ALLIANCEMAN_TITLE,Alliance Manager
ALLIANCEMAN_DISABLED,Alliances cannot be modified this game.
ALLIANCEMAN_INVITATION_SENT,Invitation Sent
ALLIANCEMAN_CANCEL_INVITE,Cancel Invite
ALLIANCEMAN_CANCEL_NONAGG,Cancel Non-Aggression
ALLIANCEMAN_INVITE_NONAGG,Invite to Non-Aggression
ALLIANCEMAN_INVITE_ALLIANCE,Invite to Alliance
ALLIANCEMAN_LISTITLE_NONAGG,Non-Aggressive
ALLIANCEMAN_LISTITLE_ALLIANCE,Alliance Members
ALLIANCEMAN_LISTITLE_ENEMY,Enemy Players
ALLIANCEMAN_EMPTYLIST,Empty
ALLIANCEMAN_EMPTYLIST_ALLIANCE,No Members
ALLIANCEMAN_LEAVEBTN,Leave
ALLIANCEMAN_CONFIRMCANCELQUERY_ALLIANCE,Leave Alliance?,,
ALLIANCEMAN_CONFIRMCANCELQUERY_NONAGG,Cancel Non-Aggression Agreement\nwith %s?,255,params: player name
ALLIANCEMAN_SURRENDER,Surrender,,
ALLIANCEMAN_CANCELSURRENDER,Cancel Surrender,,
ALLIANCEMAN_JOIN_ALLIANCE,Join Alliance,,

SURRENDERDLG_TITLE,Surrender?,,
SURRENDERDLG_SURRENDERTO,Surrender to another player,,
SURRENDERDLG_NOPLAYERS,Empty,,
SURRENDERDLG_CONFIRM_TITLE_TOPLAYER,Confirm Surrender,,
SURRENDERDLG_CONFIRM_MSG_TOPLAYER,Are you sure you want to surrender\nyour empire to %s?,,
SURRENDERDLG_CONFIRM_TITLE,Confirm Surrender,,
SURRENDERDLG_CONFIRM_MSG,Are you sure you want to surrender?,,

OBJECTIVES_TITLE,Objectives,,

TRADE_TITLE,Trade,,
TRADE_SEND_BTN,Send,,
TRADE_SAVINGS_TITLE,Available Savings,,
TRADE_SAVINGS_EDITLABEL,Give,,
TRADE_RESEARCH_TITLE,Available Research,,
TRADE_RESEARCH_EDITLABEL,Give,,
TRADE_CONFIRM_GIVE_SAVINGS,Give %s from your treasury\nto %s?,511,"params: savings amount, recipient player"
TRADE_CONFIRM_GIVE_RESEARCH,Give %s of your research\ncapability to %s?,511,"params: research percentage, recipient player"
TRADE_CONFIRM_GIVE_BOTH,Give %s of your research capability\nand %s from your treasury\nto %s?,511,"params: research percentage, savings amount, recipient player"

TRADE_SECTOR_NAME,Sector %s,128,params: sector id

RESEARCH_DONEDLG_TITLE,Completed!,,
RESEARCH_START_BUTTON_LABEL,Research,,
RESEARCH_CANCEL_BUTTON_LABEL,Cancel,,
RESEARCH_BOOST_TITLE,Boost Research,,
RESEARCH_BOOST_SLIDERLABEL,Savings,,
RESEARCH_BOOST_APPLYBTN,Apply,,
RESEARCH_HISTORY_TURNACQUIRED,Year %s,63,params: year number tech was acquired
RESEARCH_SPECPROJECTS_STARTBTN,Start Project,,
RESEARCH_SPECPROJECTS_CANCELBTN,Cancel Project,,
RESEARCH_SPECPROJECTS_TITLE,Special Projects,,
RESEARCH_HISTORY_TITLE,History,,
RESEARCH_TITLE,Research,,title of the screen
RESEARCH_TURNSLEFT_ONETURN,1 year to complete.,,
RESEARCH_TURNSLEFT_NTURNS,%s years to complete.,127,params: number of years left
RESEARCH_RESEARCHING,Researching,,
RESEARCH_RESEARCHING_NOTECH,Nothing,,
RESEARCH_CONFIRMSTART_TITLE,Confirm Research,,
RESEARCH_CONFIRMSTART_MSG,Start research on %s technology?,255,params: name of tech
RESEARCH_CONFIRMCANCEL_TITLE,Confirm Cancel,,
RESEARCH_CONFIRMCANCEL_MSG,Cancel research for %s?,,
RESEARCH_OVERBUDGET,Overbudget,,
TECHWEAPON_RATEOFFIRE,Rate Of Fire,,
TECHWEAPON_DAMAGE,Damage,,
TECHWEAPON_ACCURACY,Accuracy,,
TECHWEAPON_RANGE,Range,,

SERVERPAGE_SERVERLIST_TITLE,Available Games,,
SERVERPAGE_SERVERLIST_TITLE_FILTERED,Available Games (Filtered),,
SERVERPAGE_SERVERLIST_FIELD_GAMENAME,Game Name,,
SERVERPAGE_SERVERLIST_FIELD_NUMPLAYERS,Players,,
SERVERPAGE_SERVERLIST_FIELD_PING,Ping,,
SERVERPAGE_SERVERLIST_FIELD_PASSWORD,Password,,
SERVERPAGE_SERVERLIST_FIELD_STATUS,Status,,
SERVERPAGE_SERVERLIST_FIELD_VERSION,Version,,
CHAT_PLAYER_JOINED_ROOM,%s has joined the room.,255,params: name of player
CHAT_PLAYER_LEFT_ROOM,%s has left the room.,255,params: name of player
CHAT_NOTCONNECTED,Not connected to chat server.,,
CHAT_JOIN_ROOM_FAILED,Failed to join %s.,255,params: name of room
CHAT_JOIN_ROOM_FAILED_GENERIC,Failed to join room.,,
CHAT_GENERIC_ROOMNAME,room,,
GAMESTATUS_PLAYING,Playing,,
GAMESTATUS_STAGING,Staging,,
GAMESTATUS_EXITING,Exiting,,
GAMESTATUS_UNKNOWN,Unknown,,
GAMENAME_NONE,(No Name),,appears in place of game name when no name is speciifed
ENTERPASSWORDDLG_TEXT,Enter Password:,,
MANUALJOIN_TITLE,Enter Host's IP Address:,,
MANUALJOIN_LISTTITLE,Favorites,,
MANUALJOIN_JOINBTN,Join,,
FILTERDLG_TITLE,Server Filter,,
FILTERDLG_MINPLAYERS,Min Players,,
FILTERDLG_MAXPLAYERS,Max Players,,
FILTERDLG_MAXPING,Max Ping
FILTERDLG_GAMENAME,Game Name
FILTERDLG_HIDEPASSWORDED,Hide Passworded Games
FILTERDLG_HIDEDIFFVERSIONS,Hide Different Versions
GAMEBROWSER_TITLE,Game Browser
GAMEBROWSER_BTN_EXIT,Exit
GAMEBROWSER_BTN_EDITFILTER,Edit Filter
GAMEBROWSER_BTN_APPLYFILTER,Apply Filter
GAMEBROWSER_BTN_MANUALJOIN,Join Manually
GAMEBROWSER_BTN_REFRESH,Refresh
GAMEBROWSER_BTN_JOIN,Join
GAMEBROWSER_GAMESUM_TURN,Year
GAMEBROWSER_GAMESUM_VERSION,Version
GAMEBROWSER_PAGETITLE_LAN,LAN
GAMEBROWSER_PAGETITLE_INTERNET,Internet
GAMEBROWSER_PAGETITLE_CHAT,Internet Chat

LOBBY_LAUNCH,Launch
LOBBY_LEAVE,Leave Game
LOBBY_CANCEL,Cancel Game
LOBBY_READY,Ready
LOBBY_NOTREADY,Not Ready
LOBBY_SLOTOPEN,Open
LOBBY_SLOTCLOSED,Closed
LOBBY_PLAYERSETUP,Setup
LOBBY_GAMESETUP,Setup
LOBBY_AIPLAYERNAME,Computer
LOBBY_CHANGEPW_QUERYTEXT,Enter new password for slot:
LOBBY_ATTEMPTPW_QUERYTEXT,This slot is password protected.\nPlease enter password:
LOBBY_PASSWORDDLG_TITLE,Password Required,,,
LOBBY_PASSWORDDLG_REQUIRED,You must enter a valid password to play in this slot.,,,
LOBBY_PASSWORDDLG_HOWTOMOVE,You may move to another unoccupied slot by dragging the slot you are currently in to the new slot.,,,
LOBBY_PASSWORDDLG_KICKWARNING,"If you do not enter a valid password, you will be kicked from the game.",,,
LOBBY_PASSWORDDLG_REMAINING_NTURNS,You have %s tries remaining.,255,params: number of tries,
LOBBY_PASSWORDDLG_REMAINING_ONETURN,You have 1 try remaining.,,,
LOBBY_PASSWORDDLG_REMAINING_TIME_NTURNS,You have %s and %s tries remaining.,255,params: time left, number of tries
LOBBY_PASSWORDDLG_REMAINING_TIME_ONETURN,You have %s and 1 try remaining.,,,
LOBBY_BTNLABEL_SUBMIT,Submit,,,
LOBBY_BTNLABEL_SUBMITTING,Submitting,,,
LOBBY_SLOTPASS_ACCEPTED,Password accepted.,,,
LOBBY_SLOTPASS_REJECTED,Password rejected.,,,

LOBBY_INPROG_PLAYER_JOIN,%s is attempting to join your game.,,,
LOBBY_INPROG_PLAYER_WAITING,%s will enter the game when the next turn begins.,,,
LOBBY_INPROG_SYNCING,Synchronizing game with new players.,,,
LOBBY_INPROG_SYNCING_FAILED,Synchronizing game with %s failed.,,
LOBBY_INPROG_WAITING,Waiting for other players to complete their turn.,,
LOBBY_INPROG_WAITING_WHY,You will enter the game when the next turn begins.,,
LOBBY_INPROG_SELECT_SLOT,Select your player slot.,,
LOBBY_INPROG_SELECT_SLOT_WHY,You will be unable to enter the game until you have selected a player slot.,,
LOBBY_DOWNLOADING_GAME,Downloading game data.,,
LOBBY_DOWNLOADING_FAILED,Download failed.,,
LOBBY_DOWNLOADING_FAILED_HOST,Sending game data failed for %s. ,255,params: name of client
LOBBY_HOST_KICKPLAYER_CONFIRM,Are you sure you want to kick %s?,255,params: name of client
LOBBY_HOST_KICKPLAYER,Unable to launch the game because %s is not ready. Do you wish to kick them from the game?,255,params: name of client
LOBBY_SLOTPASS,This slot is password protected.,,
LOBBY_WARNING_SLOTPASS_KICK,"If you are unable to provide a correct password, you will be kicked from the game.",,
LOBBY_WARNING_SLOTPASS_NEWSLOT,"If you are unable to provide a correct password, you will be assigned a new slot.",,
LOBBY_WARNING_NOSLOT_KICK,"If you have not chosen a slot, you will be kicked from the game.",,
LOBBY_WARNING_NOSLOT_NEWSLOT,"If you have not chosen a slot, you will be assigned one automatically.",,

HOSTMIG_HOSTLEFT,The host has left the game.,,
HOSTMIG_MIGRATING,Migrating Host...,,
HOSTMIG_MIGRATING_FAILED,Migrating Host Failed.,,
HOSTMIG_RESTARTGAME_QUERY,Do you want to restart the game as host using the autosave file?,,
HOSTMIG_RESTARTGAME_FILENAME,The autosave file is %s.,255,params: name of file
HOSTMIG_RESTARTGAME_OTHERPLAYERS,The other players will need to reconnect.,,
HOSTMIG_RESTARTGAME_NEEDTORECONNECT,You will need to reconnect to the new host.,,
HOSTMIG_RESTARTGAME_RESTART,You can restart the game using the autosave file.,,

HOSTMIG_ERROR_TITLE,Game File Transfer Failed,,
HOSTMIG_ERROR_MESSAGE,,,
HOSTMIG_SUCCESSFUL_TITLE,Game File Transfer Complete,,
HOSTMIG_SUCCESSFUL_MESSAGE,You can reload the game from the previous turn using the file\n%s.,,
HOSTMIG_ABORTED_TITLE,Game File Transfer Failed,,
HOSTMIG_ABORTED_MESSAGE,Host aborted transfer before it was completed.,,

HOSTMIGDLG_HOSTTITLE,Quitting Game
HOSTMIGDLG_CLIENTTITLE,Host Leaving Game
HOSTMIGDLG_TRANSFERRING_DATA,Transferring game data to other players...
HOSTMIGDLG_RECEIVING_DATA,Receiving game data from host...
HOSTMIGDLG_BTNLABEL_ABORTTOMENU,Quit To Main Menu Now
HOSTMIGDLG_CONFIRMABORTTOMENU_TITLE,Quit To Main Menu Now?
HOSTMIGDLG_CONFIRMABORTTOMENU_MESSAGE,"If you cancel the transfer, the other players will be unable to reload the game."
HOSTMIGDLG_BTNLABEL_CANCELTRANSFER,Cancel Transfer
HOSTMIGDLG_CANCELTRANSFER_TITLE,Cancel Game File Transfer?
HOSTMIGDLG_CANCELTRANSFER_MESSAGE,"If you cancel the transfer, you will be unable to reload the game after the host has left."

PLAYERSETUP_TITLE,Player Setup
PLAYERSETUP_NAME_LABEL,Enter Name
PLAYERSETUP_SPECIES_LABEL,Select Species
PLAYERSETUP_COLOR_LABEL,Select Color
PLAYERSETUP_BADGE_LABEL,Select Badge,
PLAYERSETUP_AVATAR_LABEL,Select Avatar,

SYSINFO_BTN_RESEARCH,Research,fixed
SYSINFO_BTN_DESIGN,Design,fixed
SYSINFO_BTN_BUILD,Build,fixed
SYSINFO_BTN_CANCELABANDON,Cancel Abandon,
SYSINFO_BTNTTIP_SLAVES,Manage Slaves,
SYSINFO_OVERHARVEST,Overharvest,
SYSINFO_TRADE,Planetary Budget,
SYSINFO_TRADERANGE_LEFT,Construction,
SYSINFO_TRADERANGE_RIGHT,Trade,
SYSINFO_TERRAFORMING,Terraforming,
SYSINFO_INFRASTRUCTURE,Infrastructure,
SYSINFO_SHIPCON,Ship Construction,

SYSSUM_HAZARD,Climate Hazard,,
SYSSUM_POPULATION,Population,,
SYSSUM_SIZE,Size,,
SYSSUM_RESOURCES,Resources,,
SYSSUM_OUTPUT,Industrial Output,,
SYSSUM_INFRASTRUCTURE,Infrastructure,,
SYSSUM_INCOME,Income,,
SYSSUM_COSTPROHIBITIVE,Cost: Prohibitive,,
SYSSUM_COST,Cost,,
SYSSUM_LONGESTLINE,"Population: 1,000,000,000",,"Not displayed, but used for positioning elements. For other languages, the population line may not be the longest."
SYSSUM_GATES,Gates,,
SYSSUM_DEFSATS,Defenses,,
SYSSUM_NAME,Name,,
SYSSUM_POPULATIONUNKNOWN,Unknown,,
SYSSUM_ABANDONING,Abandoning,,
SYSSUM_OWNER,Player,,
SYSSUM_UNEXPLORED,System unexplored.\nNo information available.

SUPPORT_REFUEL_TITLE,Refuel
SUPPORT_REFUEL_BARTITLE_AVAIL,Available Fuel
SUPPORT_REFUEL_BARTITLE_REQ,Required Fuel
REFUEL_AUTO,Auto Refuel
SUPPORT_REFUEL_ALL,Refuel All
SUPPORT_REFUEL_SHIPTYPE,Tankers
SUPPORT_REFUEL_AVAIL,Fuel Supply
SUPPORT_REFUEL_REQ,Fuel
SUPPORT_REPAIR_TITLE,Repair
SUPPORT_REPAIR_BARTITLE_AVAIL,Available
SUPPORT_REPAIR_BARTITLE_REQ,Required
REPAIR_AUTO,Auto Repair
SUPPORT_REPAIR_ALL,Repair All
SUPPORT_REPAIR_SHIPTYPE,Repair Ships,,
SUPPORT_REPAIR_AVAIL,,,intentionally blank
SUPPORT_REPAIR_REQ,,,intentionally blank
SUPPORT_UNDO_ALL,Undo All,,
SUPPORT_REQUIRED_NONE,None,,

EMPIRE_TABTITLE_COLONIES,Colonies/Budget,,Tab for page which list player's colonies and displays their budget info
EMPIRE_TABTITLE_FLEETS,Fleets,,Tab for page which lists all of the player's fleets.
EMPIRE_TABTITLE_EXPLORED,Explored Systems,,Tab for page which lists all systems the player has explored.
EMPIRE_TABTITLE_ENEMY,Enemy Colonies,,Tab for page which lists all systems owned by enemy players.
EMPIRE_TABTITLE_EVENTS,History,,Tab for page which lists previous events.
EMPIRE_TABTITLE_STATS,Stats,,Tab for page which displays statistical information about the player and their allies.

EMPIRE_ENEMYCOLONIES,Enemy Colonies (%s):,Title for enemy colonies page which also shows number of enemy colonies.,
EMPIRE_EXPLOREDSYSTEMS,Explored Systems (%s):,Title for explored systems which also shows number of explored systems.,

BUDGET_COLONIES,Colonies (%s):,Title for colonies section of the budget panel that also shows the number of colonies.
BUDGET_BUDGETTITLE,Budget:,Title for budget section of the budget panel
BUDGET_SAVINGS,Treasury,
BUDGET_INCOME,Income,
BUDGET_INCOME_SYSTEMS,Planetary Income,
BUDGET_INCOME_TRADE,Trade Income,
BUDGET_INTEREST,Interest,
BUDGET_EXPENSES,Expenses,
BUDGET_SYSDEV,Planetary Development,
BUDGET_FLEETMAINT,Fleet Maintenance,
BUDGET_RESEARCH,Research,
BUDGET_RESEARCHAID,Aid (Research),
BUDGET_PROJECTS,Special Projects,
BUDGET_MISC,Additional Costs,
BUDGET_FINALCHANGE,Projected Change,
BUDGET_FINALSAVINGS,Projected Treasury,

EMPIREINFO_SAVINGS,Imperial Savings,128,

EVENTSUM_BETRAYAL,Betrayal %s,255,params: location+preposition
EVENTMSG_ALLIANCE_DISSOLVED,The alliance has been dissolved.,255,
EVENTMSG_NONAGGRESSION_DISSOLVED,The non-aggression pact between %s and %s has been dissolved.,255,"params: attacker, victim name"
EVENTMSG_PLAYER_ATTACKED_ALLY,%s attacked ally %s.,255,"params: attacker, victim name"
EVENTMSG_PLAYER_EJECTED_FROM_ALLIANCE,%s has been ejected from the alliance.,255,params: player name
EVENTSUM_AID,Received Aid From %s,255,params: player name
EVENTMSG_AID_MONEY,%s in funds have been transferred to your treasury from %s.,255,"params: amount of money received, player who sent it"
EVENTMSG_AID_RESEARCH,Scientists from %s have arrived to assist your research for this year.,255,params: player who sent it
EVENTSUM_AUTOSUPPORT_FAILED,Maintenance Required,,
EVENTMSG_AUTOSUPPORT_FAILED,Fleet requires manual maintenance. Automatic support unable to complete task.,,
EVENTSUM_PLAGUE_SPREAD,%s Spreads %s,255,"params: fleet, plague"
EVENTMSG_PLAGUE_SPREAD,%s has carried %s to %s and caused an outbreak.,255,"params: fleet, plague, infected system"
EVENTSUM_SYSTEM_EXPLORED,%s Explored,255,params: system
EVENTMSG_SYSTEM_EXPLORED,%s has explored %s.,255,"params: fleet, system"
EVENTSUM_FLEET_ARRIVES,Fleet Arrived At %s,255,params: system
EVENTMSG_FLEET_ARRIVES,%s has arrived at %s.,255,"params: fleet, system"
EVENTSUM_FLEET_NOFUEL,Fleet Stranded!,255,params: fleet
EVENTMSG_FLEET_NOFUEL,%s has run out of fuel and cannot reach its destination.,255,params: fleet
EVENTSUM_FLEET_NOENGINES,Fleet Stranded!,255,params: fleet
EVENTMSG_FLEET_NOENGINES,%s cannot reach its destination because some of its ships have damaged engines.,255,params: fleet
EVENTSUM_FLEET_FARCAST_SUCCESS,%s Completes Jump,255,params: fleet name
EVENTMSG_FLEET_FARCAST_SUCCESS_GENERIC,%s reached its destination successfully.,255,params: fleet name
EVENTMSG_FLEET_FARCAST_SUCCESS_SYSTEM,%s reached %s successfully.,255,"params: fleet, system"
EVENTSUM_FLEET_FARCAST_FAILED,%s Completes Jump,255,params: fleet
EVENTMSG_FLEET_FARCAST_FAILED_GENERIC,%s arrived %s light years from its destination.,255,"params: fleet, distance"
EVENTMSG_FLEET_FARCAST_FAILED_SYSTEM,%s arrived %s light years from %s.,255,"params: fleet, distance, system"
EVENTSUM_PLAGUE_CONTAINED,%s contained on %s.,255,"params: plague, system"
EVENTMSG_PLAGUE_CONTAINED,%s contained on %s.,255,"params: plague, system"
EVENTSUM_SHIPS_BUILT,Ships Constructed At %s,255,params: system
EVENTMSG_SHIPS_BUILT_1SHIP,1 ship built in system %s,255,params: system
EVENTMSG_SHIPS_BUILT_NSHIPS,%s ships built in system %s,255,"params: numShips, system"
EVENTSUM_FREIGHTERS_BUILT,Freighters Constructed At %s,255,params: system
EVENTMSG_FREIGHTERS_BUILT_1SHIP,1 freighter built in system %s.,255,params: system
EVENTMSG_FREIGHTERS_BUILT_NSHIPS,%s freighters built in system %s.,255,"params: numFreighters, system"
EVENTMSG_FREIGHTERS_BUILT_PUTINSERVICE_ALL1,It has been allocated to %s.,255,params: sector name
EVENTMSG_FREIGHTERS_BUILT_PUTINSERVICE_ALLN,They have been allocated to %s.,255,params: sector name
EVENTMSG_FREIGHTERS_BUILT_PUTINSERVICE_1SHIP,1 freighter has been allocated to %s.,255,params: sector
EVENTMSG_FREIGHTERS_BUILT_PUTINSERVICE_NSHIPS,%s freighters have been allocated to %s.,255,"params: numFreighters, sector"

EVENTSUM_NO_RESEARCH,No Research Project Assigned.,,params: none
EVENTMSG_NO_RESEARCH,No Research Project Assigned.,,params: none
EVENTSUM_RESEARCH_COMPLETE,Research Complete,256,params: none
EVENTMSG_RESEARCH_COMPLETE,Tech %s has been acquired,256,params: tech
EVENTSUM_RESEARCH_OVERBUDGET,Research Over Budget,256,params: tech
EVENTMSG_RESEARCH_OVERBUDGET,Research for %s has gone overbudget.,256,params: tech
EVENTMSG_RESEARCH_PERFBONUS,Research performance is improved for this year.,256,params: none
EVENTSUM_RESEARCH_UNDERBUDGET,Research Breakthrough!,256,params: none
EVENTMSG_RESEARCH_UNDERBUDGET,Your scientists made a breakthrough with %s. Research has completed ahead of schedule!,256,params: tech
EVENTSUM_COLONY_BANKRUPT,%s Abandoned,256,params: system
EVENTMSG_COLONY_BANKRUPT,Star system %s was too expensive to maintain and had to be abandoned,256,params: system
EVENTSUM_BIOWEAPON_STRIKE,Bio Weapon Strike at %s,256,params: system
EVENTSUM_PLAGUE_CONTINUES,Plague Continues on %s,255,params: system
EVENTMSG_PLAGUE_CONTINUES,Plague outbreaks continue on %s.,,
EVENTSUM_PLAGUE_ACCIDENT,Research Causes Outbreak!,,params: none
EVENTMSG_PLAGUE_ACCIDENT,An accident researching %s has caused an outbreak on %s.,256,"params: plague, system"
EVENTSUM_PLAGUE_DESTROYEDBY,Plague Wipes Out %s,256,params: system
EVENTMSG_PLAGUE_DESTROYEDBY,Plagues have decimated the population of %s.,256,params: system
EVENTSUM_PLAGUE_ASSIMILATED,Colony Lost!,,
EVENTMSG_PLAGUE_ASSIMILATED,Biological weapons have subverted the population of %s. The system now belongs to your enemies.,512,params: system
EVENTSUM_COLONY_ESTABLISHED,Colony Established On %s,256,params: system
EVENTMSG_COLONY_ESTABLISHED,New colony established on %s.,256,params: system
EVENTSUM_COLONY_NEWSETTLERS,Colonists have settled on %s.,256,params: system
EVENTMSG_COLONY_NEWSETTLERS,Colonists have settled on %s.,256,params: system
EVENTSUM_COLONY_ACQUIRED_BYASSIM,Colony Assimilated,,
EVENTMSG_COLONY_ACQUIRED_BYASSIM,%s has been assimilated and is now under your control.,512,params: system
EVENTSUM_GATE_DEPLOYED,Gate deployed at %s.,256,params: system
EVENTMSG_GATE_DEPLOYED,Teleport gate deployed at %s.,256,params: system
EVENTSUM_MINING_NORES,Mining complete.,256,params: none
EVENTMSG_MINING_NORES,Mining of %s has been completed. There are no more resources left.,256,params: system
EVENTSUM_MINING_SHIPFULL,Mining ship full.,256,params: none
EVENTMSG_MINING_SHIPFULL,Mining ship at %s has reached full capacity.,256,params: system
EVENTSUM_MINING_DUMPORE,Ore dropped off.,256,params: none
EVENTMSG_MINING_DUMPORE,Mining ship has dropped off its cargo at %s.,256,params: system
EVENTSUM_DUMP_SLAVES,Slaves Transferred to %s,255, params: system
EVENTMSG_DUMP_SLAVES,Slaves transferred to %s.,255, params: system
EVENTSUM_COLONY_ABANDONED,%s Abandoned,256,params: system
EVENTMSG_COLONY_ABANDONED,Colony on %s has been abandoned.,256,params: system
EVENTSUM_FLEET_INTERCEPT_ABORTED_UNKNOWN,Intercept Mission Aborted!,256,params: fleet doing intercept
EVENTMSG_FLEET_INTERCEPT_ABORTED_UNKNOWN,%s can no longer track its target. Mission aborted.,256,params: fleet doing intercept
EVENTSUM_FLEET_INTERCEPT_COMPLETE,Intercept Mission Successful!,256,params: fleet doing intercept
EVENTMSG_FLEET_INTERCEPT_COMPLETE,%s successfully intercepted its target.,256,params: fleet doing intercept
EVENTSUM_COMBAT,Combat %s,256,params: location+preposition
EVENTSUM_COMBAT_OBSERVED,Observed Combat %s,256,params: location+preposition
EVENTMSG_COMBAT_OBSERVED,You have observed the battle %s.,256,params: location+preposition
EVENTMSG_COMBAT_LOSS,You have lost the battle %s.,256,params: location+preposition
EVENTMSG_COMBAT_WIN,You have won the battle %s.,256,params: location+preposition
EVENTMSG_COMBAT_DRAW,You have engaged enemy ships %s.,256,params: location+preposition
EVENTMSG_COMBAT_COLONY_DESTROYED,The colony was destroyed.,256,params: none
